id;kutyanév
1;Akina
2;Akira
3;Alex
4;Ali
5;Amanda
6;April
7;Asterix
8;Audrey
9;Babuka
10;Bajusz
11;Bamboo
12;Bandita
13;Barnabás
14;Bartók
15;Bebe
16;Benji
17;Benni
18;Bento
19;Berci
20;Betyár
21;Bingó
22;Blackie
23;Blacky
24;Blecky
25;Blöki
26;Bó
27;Bobby
28;Bobi
29;Bobó
30;Boga
31;Bogi
32;Bojti
33;Bonnei
34;Bono
35;Bony
36;Boris
37;Börni
38;Bosco
39;Boti
40;Botond
41;Boxos
42;Breien
43;Bronzó
44;Brownie
45;Brutus
46;Buli
47;Carrie
48;Casper
49;Castor
50;Castro
51;Chanel
52;Charlie
53;Chili
54;Cimi
55;Cipő
56;Cleo
57;Coctail
58;Cody
59;Conen
60;Connor
61;Cooper
62;Corenis
63;Csabesz
64;Csele
65;Csibész
66;Csiri
67;Csocso
68;Csöpi
69;Cyri
70;Daesy
71;Dannie
72;Dave
73;Deb
74;Deni
75;Denisz
76;Dennis
77;Denny
78;Deny
79;Dexter
80;Dini
81;Disney
82;Dobi
83;Dodó
84;Dolli
85;Dolly
86;Domino
87;Donáld
88;Dugó
89;Dzsángó
90;Dzseki
91;Dzseni
92;Dzsina
93;Dzsuli
94;Edu
95;Ellie
96;Emi
97;Eminem
98;Eric
99;Eron
100;Etnis
101;Fickó
102;Fidó
103;Fifu
104;Filo
105;Folti
106;Freya
107;Frodó
108;Frosty
109;Gibby
110;Gino
111;Gizi
112;Goldie
113;Goldy
114;Gólem
115;Golfi
116;Golyó
117;Google
118;Gray
119;Gringó
120;Gyereide
121;Hannibál
122;Happy
123;Harcos
124;Hector
125;Hepi
126;Hópihe
127;Houdini
128;Huncut
129;Huncutka
130;Írisz
131;Isi
132;Izabella
133;Jaffa
134;Jago
135;Jakie
136;Jasper
137;Jeny
138;Jessy
139;Jhony
140;Jin
141;Johnny
142;Joker
143;Joky
144;Jolly
145;Josy
146;Junior
147;Jyl
148;Kamino
149;Kávé
150;Kenny
151;Kety
152;Killer
153;Kinder
154;Kipper
155;Kitty
156;Kiwi
157;Kodi
158;Kody
159;Kokó
160;Krona
161;Kukuc
162;Leon
163;Letty
164;Lexi
165;Lia
166;Lilike
167;Liló
168;Lilus
169;Lizy
170;Lizzy
171;Lőlik
172;Lolli
173;Lucky
174;Lüki
175;Lüszi
176;Luxi
177;Macifül
178;Madox
179;Mandi
180;Manitu
181;Marco Polo
182;Marcus
183;Mary
184;Maximus
185;Mázli
186;Mázly
187;Meggi
188;Mexi
189;Mexx
190;Mexy
191;Mia
192;Mikey
193;Milli
194;Milou
195;Misszi
196;Móric
197;Mozart
198;Murphy
199;Mysty
200;Naga
201;Napóleon
202;Nessi
203;Netty
204;Nocsi
205;Nono
206;Otisz
207;Pacsi
208;Panka
209;Party
210;Patent
211;Pimasz
212;Plüsi
213;Pöcök
214;Polka
215;Porti
216;Puszi
217;Rafi
218;Réka
219;Rézi
220;Rico
221;Ricsi
222;Rikiki
223;Rómeó
224;Roti
225;Royal
226;Rupert
227;Sábi
228;Saidka
229;Sally
230;Sammy
231;Sanci
232;Santos
233;Scooby
234;Scoty
235;Snoopy
236;Sofi
237;Sol
238;Spyke
239;Steffi
240;Stefi
241;Szaffi
242;Szimba
243;Sziszike
244;Szofi
245;T-Rex
246;Tacsi
247;Tapancs
248;Tapi
249;Tara
250;Tekila
251;Tekla
252;Teo
253;Tequila
254;Tiffany
255;Tigi
256;Timba
257;Timon
258;Tisza
259;Titok
260;Topi
261;Touluse
262;Trendy
263;Trickey
264;Tuco
265;Vacak
266;Vackor
267;Vadóc
268;Vesta
269;Watson
270;Whisky
271;Wifi
272;Yoyó
273;Zabu
274;Zafír
275;Zafira
276;Zara
277;Zefír
278;Zina
279;Zira
280;Ziva
281;Zoey
282;Zoli
283;Zolika
284;Zorro
285;Zoya
286;Zozi
287;Zsebike
288;Zseni