név;elsõ;utolsó;súly;magasság
Jim Abbott;1989-04-08;1999-07-21;200;75
Kyle Abbott;1991-09-10;1996-08-24;200;76
Joel Adamson;1996-04-10;1998-04-26;185;76
Steve Adkins;1990-09-12;1990-10-03;210;78
Juan Agosto;1981-09-07;1993-06-19;190;74
Mike Aldrete;1986-05-28;1996-09-29;180;71
Dana Allison;1991-04-12;1991-05-23;215;75
Beau Allred;1989-09-07;1991-06-25;190;72
Allan Anderson;1986-06-11;1991-10-06;178;71
Eric Anthony;1989-07-28;1997-09-27;195;74
Paul Assenmacher;1986-04-12;1999-10-03;195;75
Oscar Azocar;1990-07-17;1992-10-04;170;73
Scott Bailes;1986-04-09;1998-09-27;170;74
Scott Baker;1995-07-17;1995-07-17;175;74
Jeff Baldwin;1990-05-22;1990-06-04;180;73
Jeff Ballard;1987-05-09;1994-07-08;195;75
Floyd Bannister;1977-04-19;1992-08-10;190;73
Travis Baptist;1998-08-01;1998-09-23;195;72
John Barfield;1989-09-07;1991-08-01;195;73
Brian Bark;1995-07-06;1995-09-08;170;69
Brian Barkley;1998-05-28;1998-09-27;180;74
Brian Barnes;1990-09-14;1994-07-01;170;69
Shawn Barton;1992-08-06;1996-09-06;195;75
Bill Bean;1987-04-25;1995-07-08;185;72
Kevin Bearse;1990-04-15;1990-04-30;195;74
Blaine Beatty;1989-09-16;1991-09-30;185;74
Robbie Beckett;1996-09-12;1997-09-26;240;77
Matt Beech;1996-08-08;1998-08-09;190;74
Eric Bell;1985-09-24;1993-05-08;178;72
Mike Bell;1990-05-02;1991-10-06;175;73
Dave Bergman;1975-08-26;1992-10-04;185;73
Mike Bertotti;1995-07-29;1997-05-10;185;73
Brent Billingsley;1999-05-20;1999-10-03;200;74
Tim Birtsas;1985-05-03;1990-10-03;240;79
Buddy Black;1981-09-05;1995-07-09;180;74
Greg Blosser;1993-09-05;1994-04-17;200;75
Tom Bolton;1987-05-17;1994-07-30;172;74
Danny Boone;1981-04-11;1990-09-30;150;68
Thad Bosley;1977-06-29;1990-05-30;175;75
Daryl Boston;1984-05-13;1994-08-11;185;75
Denis Boucher;1991-04-12;1994-05-21;195;73
Jim Bowie;1994-08-03;1994-08-11;205;72
Sid Bream;1983-09-01;1994-07-27;215;76
Brent Brede;1996-09-08;1998-09-27;190;76
Billy Brewer;1993-04-08;1999-10-02;175;73
Rod Brewer;1990-09-05;1993-10-03;210;75
Kevin Brown;1990-07-27;1992-04-08;185;73
Tom Browning;1984-09-09;1995-05-19;190;73
J. T. Bruett;1992-06-03;1993-05-02;175;71
Will Brunson;1998-06-21;1999-07-09;185;76
Bill Buckner;1969-09-21;1990-05-30;185;72
Scott Bullett;1991-09-03;1996-09-29;200;74
Eric Bullock;1985-08-26;1992-04-30;185;71
Enrique Burgos;1993-07-15;1995-07-02;195;76
Terry Burrows;1994-06-12;1997-06-11;185;73
Randy Bush;1982-05-01;1993-06-23;186;73
Adam Butler;1998-03-31;1998-09-13;225;74
Brett Butler;1981-08-20;1997-09-28;160;70
Rob Butler;1993-06-12;1999-07-10;185;71
Greg Cadaret;1987-07-05;1998-09-26;210;75
Jim Campbell;1990-08-21;1990-08-26;175;71
John Candelaria;1975-06-08;1993-07-07;230;79
John Cangelosi;1985-06-30;1999-09-22;150;68
Don Carman;1983-10-01;1992-07-18;195;75
Mark Carreon;1987-09-08;1996-08-23;170;72
Matias Carrillo;1991-05-23;1994-08-10;185;71
Andy Carter;1994-05-03;1995-05-15;200;77
Chuck Cary;1985-08-22;1993-10-02;210;76
Larry Casian;1990-09-09;1998-05-18;170;72
Tony Castillo;1988-08-14;1998-06-19;177;70
John Cerutti;1985-09-01;1991-10-05;195;74
Bryan Clark;1981-04-11;1990-05-30;185;74
Stan Clarke;1983-06-07;1990-09-29;180;73
Pat Clements;1985-04-09;1992-09-27;175;72
Alex Cole;1990-07-27;1996-05-22;170;74
Dave Collins;1975-06-07;1990-10-03;175;71
Pat Combs;1989-09-05;1992-07-07;200;75
Keith Comstock;1984-04-03;1991-08-05;174;72
Steve Cooke;1992-07-28;1998-04-02;220;78
Sherman Corbett;1988-05-29;1990-05-05;205;76
John Courtright;1995-05-06;1995-05-06;185;74
Joe Crawford;1997-04-07;1997-09-27;225;75
Warren Cromartie;1974-09-06;1991-09-15;180;72
John Cummings;1993-04-10;1997-06-05;200;75
Mike Dalton;1991-05-31;1991-06-15;215;72
Doug Dascenzo;1988-09-02;1996-09-29;150;67
Jack Daugherty;1987-09-01;1993-10-03;188;72
Mark Davis;1980-09-12;1997-09-28;180;75
Tim Davis;1994-04-04;1997-04-18;165;71
Ken Dayley;1982-05-13;1993-04-14;171;72
Jim Deshaies;1984-08-07;1995-07-30;222;76
Lance Dickson;1990-08-09;1990-08-18;185;72
Frank DiPino;1981-09-14;1993-07-22;175;70
Glenn Dishman;1995-06-22;1997-09-07;195;73
Benny Distefano;1984-05-18;1992-08-05;195;73
Steve Dixon;1993-09-07;1994-07-18;190;72
Robert Dodd;1998-05-28;1998-06-16;195;75
Tom Drees;1991-09-03;1991-10-05;210;78
Brian Dubois;1989-08-17;1990-07-05;165;70
Matt Dunbar;1995-04-25;1995-05-20;170;72
Steve Dunn;1994-05-03;1995-09-28;225;76
Roberto Duran;1997-07-06;1998-05-28;167;72
Jim Dwyer;1973-06-10;1990-06-21;165;70
Radhames Dykhoff;1998-06-07;1998-06-07;205;72
Lenny Dykstra;1985-05-03;1996-05-18;160;70
Derrin Ebert;1999-04-06;1999-10-02;200;75
Chris Eddy;1995-04-26;1995-05-12;200;75
Wayne Edwards;1989-09-11;1991-05-25;185;77
Jim Eisenreich;1982-04-06;1998-09-26;180;71
Narciso Elvira;1990-09-09;1990-09-28;160;70
Jim Eppard;1987-09-08;1990-10-01;180;74
Vaughn Eshelman;1995-05-02;1997-07-11;205;75
Bryan Eversgerd;1994-04-30;1998-09-26;190;73
Mike Farmer;1996-05-04;1996-06-08;193;73
Sid Fernandez;1983-09-20;1997-04-05;220;73
Pete Filson;1982-05-15;1990-08-11;195;74
Mike Flanagan;1975-09-05;1992-09-27;185;72
Dave Fleming;1991-08-06;1995-09-30;200;75
Huck Flener;1993-09-14;1997-07-28;175;71
Don Florence;1995-08-08;1995-09-19;195;72
Tom Fordham;1997-08-19;1998-08-30;210;74
Tim Fortugno;1992-07-20;1995-07-26;195;73
Tony Fossas;1988-05-15;1999-05-14;195;72
Eric Fox;1992-07-07;1995-07-05;180;70
Terry Francona;1981-08-19;1990-04-19;190;73
Mike Frank;1998-06-19;1998-07-26;185;74
Steve Frey;1989-05-10;1996-08-02;170;69
Jay Gainer;1993-05-14;1993-10-02;190;72
Keith Garagozzo;1994-04-05;1994-04-28;170;72
Kirk Gibson;1979-09-08;1995-08-10;215;75
Paul Gibson;1988-04-08;1996-05-27;165;72
Brian Givens;1995-06-24;1996-06-26;220;78
Jerry Don Gleaton;1979-07-11;1992-07-20;205;75
Pat Gomez;1993-04-06;1995-09-30;190;72
Gabe Gonzalez;1998-04-01;1998-04-04;160;73
Curtis Goodwin;1995-06-02;1999-08-08;180;71
Jeff Granger;1993-09-16;1997-04-25;200;76
Tommy Gregg;1987-09-14;1997-09-28;190;73
Ken Griffey;1973-08-25;1991-05-31;190;71
Matt Grott;1995-05-04;1995-05-06;210;73
Ken Grundt;1996-08-08;1997-05-20;195;76
Lee Guetterman;1984-09-12;1996-07-13;225;80
Johnny Guzman;1991-06-08;1992-06-28;155;70
Chris Gwynn;1987-08-14;1996-09-29;200;72
Drew Hall;1986-09-14;1990-09-26;220;76
Mel Hall;1981-09-03;1996-05-21;185;72
Bob Hamelin;1993-09-12;1998-09-27;240;73
Atlee Hammaker;1981-08-13;1995-08-09;200;75
Lee Hancock;1995-09-03;1996-05-13;215;76
Shawn Hare;1991-09-06;1995-06-17;190;74
Dean Hartgraves;1995-05-03;1998-07-23;185;72
Hilly Hathaway;1992-09-08;1993-09-11;195;76
Neal Heaton;1982-09-03;1993-06-26;197;73
Danny Heep;1979-08-31;1991-06-08;185;71
Butch Henry;1992-04-09;1999-09-10;195;73
Keith Hernandez;1974-08-30;1990-07-24;180;72
Jose Herrera;1995-08-12;1996-09-29;165;72
Joe Hesketh;1984-08-07;1994-08-07;170;74
Greg Hibbard;1989-05-31;1994-06-23;180;72
Bryan Hickerson;1991-07-25;1995-09-23;195;74
Kevin Hickey;1981-04-14;1991-07-06;170;73
Teddy Higuera;1985-04-23;1994-08-09;178;70
Eric Hillman;1992-05-18;1994-05-30;235;82
Rick Honeycutt;1977-08-24;1997-05-02;185;73
Sam Horn;1987-07-25;1995-09-20;215;77
Vince Horsman;1991-09-05;1995-05-13;175;74
Ricky Horton;1984-04-07;1990-07-23;195;74
Chris Howard;1993-09-21;1995-09-20;185;72
Steve Howe;1980-04-11;1996-06-21;180;73
Keith Hughes;1987-05-19;1993-05-20;210;75
David Hulse;1992-08-11;1996-09-07;170;71
Bruce Hurst;1980-04-12;1994-06-18;200;76
James Hurst;1994-04-04;1994-05-22;160;72
Tim Hyers;1994-04-04;1999-08-05;185;73
Blaise Ilsley;1994-04-04;1994-07-07;195;73
Danny Jackson;1983-09-11;1997-08-07;205;72
Jason Jacome;1994-07-02;1998-09-23;155;73
Dion James;1983-09-16;1996-04-21;170;73
Mike Jeffcoat;1983-08-21;1994-06-24;187;74
Reggie Jefferson;1991-05-18;1999-10-03;210;76
Doug Jennings;1988-04-08;1993-09-26;175;70
Doug Johns;1995-07-08;1999-10-02;185;74
Jeff Johnson;1991-06-05;1993-06-12;200;75
Ricardo Jordan;1995-06-23;1998-04-13;175;72
Jeff Kaiser;1985-04-11;1993-05-17;195;75
Ryan Karp;1995-06-23;1997-09-27;217;76
Takashi Kashiwada;1997-05-01;1997-09-18;165;71
Jimmy Key;1984-04-06;1998-09-20;185;73
Paul Kilgus;1987-06-07;1993-10-03;175;73
Mike Kingery;1986-07-07;1996-09-15;180;72
Kevin King;1993-09-02;1995-05-14;170;76
Bob Kipper;1985-04-12;1992-07-27;200;74
Garland Kiser;1991-09-09;1991-10-06;190;75
Joe Klink;1987-04-09;1996-05-17;170;71
Bob Knepper;1976-09-10;1990-06-24;195;75
Brian Kowitz;1995-06-04;1995-06-16;182;70
Joe Kraemer;1989-08-22;1990-06-25;185;74
Rick Krivda;1995-07-07;1998-09-08;180;73
Bill Krueger;1983-04-10;1995-08-13;205;77
John Kruk;1986-04-07;1995-07-30;170;70
Jeff Kubenka;1998-09-06;1999-08-08;191;74
Tim Kubinski;1997-07-16;1999-10-02;205;76
Mike Laga;1982-09-01;1990-10-03;210;74
Rick Lancellotti;1982-08-27;1990-08-18;195;75
Mark Langston;1984-04-07;1999-09-24;177;74
Dave LaPoint;1980-09-10;1991-04-20;205;75
Stephen Larkin;1998-09-27;1998-09-27;190;72
Sean Lawrence;1998-08-25;1998-09-22;215;76
Rick Leach;1981-04-30;1990-08-05;180;73
Corey Lee;1999-08-24;1999-08-24;180;74
Mark Lee;1988-09-08;1995-09-24;198;75
Craig Lefferts;1983-04-07;1994-07-03;180;73
Charlie Leibrandt;1979-09-17;1993-09-21;195;75
Dave Leiper;1984-09-02;1996-09-22;160;73
Derek Lilliquist;1989-04-13;1996-09-06;200;72
Joey Long;1997-04-25;1997-05-24;220;74
Brian Looney;1993-09-26;1995-06-08;180;70
Vance Lovelace;1988-09-10;1990-09-22;205;77
Matt Luke;1996-04-03;1999-09-30;220;77
Scott Lusader;1987-09-01;1991-05-11;165;70
Fred Lynn;1974-09-05;1990-10-03;185;73
Kevin Maas;1990-06-29;1995-06-20;195;75
Bob Macdonald;1990-08-14;1996-06-07;200;75
Quinn Mack;1994-06-16;1994-06-21;185;70
Lonnie Maclin;1993-09-07;1993-10-03;185;72
Joe Magrane;1987-04-25;1996-06-21;225;78
Rob Mallicoat;1987-09-11;1992-09-22;180;75
Ravelo Manzanillo;1988-09-25;1995-05-09;210;72
Oreste Marrero;1993-08-12;1996-09-26;195;72
Chito Martinez;1991-07-05;1993-04-20;180;70
Pedro Martinez;1993-06-29;1997-09-06;155;74
Dan Masteller;1995-06-23;1995-10-01;185;72
Greg Mathews;1986-06-03;1992-10-03;180;74
Don Mattingly;1982-09-08;1995-10-01;175;72
Rob Maurer;1991-09-08;1992-10-04;200;75
Greg McCarthy;1996-08-28;1998-09-23;195;74
Bob McClure;1975-08-13;1993-05-17;170;71
Oddibe McDowell;1985-05-19;1994-08-10;165;69
Tom McGraw;1997-05-07;1997-05-09;195;74
Brian McNichol;1999-09-07;1999-09-30;215;78
Larry McWilliams;1978-07-17;1990-05-12;180;77
Louie Meadows;1986-07-03;1990-10-03;190;71
Luis Medina;1988-09-02;1991-06-13;200;76
Mike Milchin;1996-05-14;1996-09-29;180;75
Mike Mimbs;1995-05-06;1997-05-16;182;74
Gino Minutelli;1990-09-18;1993-09-09;180;72
Paul Mirabella;1978-07-28;1990-09-27;190;73
Angel Miranda;1993-06-05;1997-06-06;160;73
Dennis Moeller;1992-07-28;1993-05-21;195;74
Alvin Morman;1996-04-02;1999-10-02;210;75
John Morris;1986-08-05;1992-08-05;185;73
Kevin Morton;1991-07-05;1991-10-03;185;74
John Moses;1982-08-23;1992-10-04;165;70
Greg Mullins;1998-09-18;1998-09-22;160;70
Rob Murphy;1985-09-13;1995-07-22;200;74
Jeff Musselman;1986-09-02;1990-09-07;180;72
Jeff Mutis;1991-06-15;1994-07-31;185;74
Randy Myers;1985-10-06;1998-09-25;190;73
Rod Myers;1996-06-21;1997-09-28;190;72
Chris Nabholz;1990-06-11;1995-08-08;210;77
Mike Neill;1998-07-27;1998-08-01;190;74
Rob Nelson;1986-09-09;1990-04-29;215;76
Warren Newson;1991-05-29;1998-09-27;190;67
Jerry Nielsen;1992-07-12;1993-07-08;185;75
Eric Nolte;1987-08-01;1991-06-01;205;75
Rafael Novoa;1990-07-31;1993-10-03;180;72
Pete O'Brien;1982-09-03;1993-07-20;185;73
John O'Donoghue;1993-06-27;1993-10-03;198;78
Kirt Ojala;1997-08-18;1999-05-04;210;74
Bob Ojeda;1980-07-13;1994-04-22;185;73
Joe Orsulak;1983-09-01;1997-09-25;185;73
Al Osuna;1990-09-02;1996-09-27;200;75
Dave Otto;1987-09-08;1994-08-10;210;79
Dan Pasqua;1985-05-30;1994-05-01;203;72
Bob Patterson;1985-09-02;1998-07-11;185;74
Ken Patterson;1988-07-08;1994-04-24;210;76
Dan Peltier;1992-06-26;1996-07-17;200;73
Jim Pena;1992-07-07;1992-10-03;185;73
Brad Pennington;1993-04-17;1998-09-22;205;77
Pat Perry;1985-09-12;1990-09-30;190;73
Ken Phelps;1980-09-20;1990-09-08;209;73
J. R. Phillips;1993-09-03;1999-10-03;205;74
Ricky Pickett;1998-04-28;1998-05-05;220;73
Ed Pierce;1992-09-06;1992-09-12;185;73
Erik Plantenberg;1993-07-31;1997-06-20;190;73
Dale Polley;1996-06-23;1996-09-29;165;72
Mike Potts;1996-04-06;1996-07-15;170;69
Dennis Powell;1985-07-07;1993-08-11;175;75
Ross Powell;1993-09-05;1995-09-30;180;72
Joe Price;1980-06-14;1990-09-16;220;76
Eddie Priest;1998-05-27;1998-06-01;200;73
Rafael Quirico;1996-06-25;1996-06-25;170;75
Mike Raczka;1992-08-15;1992-09-23;180;74
Roberto Ramirez;1998-06-12;1999-10-01;195;72
Ken Ramos;1997-05-16;1997-06-11;185;73
Dennis Rasmussen;1983-09-16;1995-07-01;230;79
Gary Rath;1998-06-02;1999-06-22;185;74
Jerry Reuss;1969-09-27;1990-10-03;200;77
Tuffy Rhodes;1990-08-07;1995-06-08;175;72
Dave Righetti;1979-09-16;1995-09-18;195;76
Wally Ritchie;1987-05-01;1992-07-28;180;74
Roberto Rivera;1995-09-03;1999-05-05;175;72
Todd Rizzo;1998-04-02;1999-07-18;220;75
Mike Robertson;1996-09-06;1998-06-26;180;72
Rich Robertson;1993-04-30;1998-05-03;175;76
Sid Roberson;1995-05-20;1995-09-29;170;69
Mike Rochford;1988-09-03;1990-04-16;205;76
Rosario Rodriguez;1989-09-01;1991-10-04;185;72
Kevin Rogers;1992-09-04;1994-05-01;190;74
Steve Rosenberg;1988-06-04;1991-05-26;186;72
Joe Rosselli;1995-04-30;1995-10-01;170;73
Matt Ruebel;1996-05-21;1998-07-04;180;74
Bruce Ruffin;1986-06-28;1997-06-26;205;74
Scott Ruskin;1990-04-09;1993-09-16;185;74
Mark Ryal;1982-09-07;1990-10-03;185;73
Marc Sagmoen;1997-04-15;1997-09-20;185;71
Benj Sampson;1998-09-09;1999-08-19;210;74
Israel Sanchez;1988-07-07;1990-10-02;170;69
Tony Saunders;1997-04-05;1999-05-26;205;74
Dan Schatzeder;1977-09-04;1991-05-25;185;72
Rich Scheid;1992-09-11;1995-05-12;185;75
Carl Schutz;1996-09-03;1996-09-24;208;71
Ray Searage;1981-06-11;1990-09-30;180;73
Steve Searcy;1988-08-29;1992-06-01;190;73
Ben Shelton;1993-06-16;1993-07-25;215;75
Darrell Sherman;1993-04-08;1993-05-22;160;69
Tim Sherrill;1990-08-14;1991-06-16;170;71
Anthony Shumaker;1999-07-23;1999-10-02;225;77
Doug Simons;1991-04-09;1992-09-24;160;72
Steve Sinclair;1998-04-25;1999-10-03;190;74
John Smiley;1986-09-01;1997-08-30;180;76
Dan Smith;1992-09-12;1994-07-08;190;77
Zane Smith;1984-09-10;1996-07-05;185;74
Phil Stephenson;1989-04-05;1992-10-04;195;73
DaRond Stovall;1998-04-01;1998-07-22;185;73
Chris Stowers;1999-07-10;1999-07-16;195;75
Darryl Strawberry;1983-05-06;1999-10-03;190;78
Franklin Stubbs;1984-04-28;1995-09-29;215;74
Russ Swan;1989-08-03;1994-04-30;210;76
Frank Tanana;1973-09-09;1993-10-01;180;74
Ramon Tatis;1997-04-06;1998-09-27;185;74
Scott Taylor;1992-09-17;1993-10-03;185;73
Tom Thobe;1995-09-12;1996-04-25;195;78
Larry Thomas;1995-08-11;1997-05-25;195;73
Mike Thomas;1995-07-12;1995-07-12;205;74
Jason Thompson;1996-06-09;1996-06-22;200;76
Mark Thurmond;1983-05-14;1990-09-02;180;72
Jose Tolentino;1991-07-28;1991-10-06;195;73
Andy Tomberlin;1993-08-12;1998-06-21;160;71
Randy Tomlin;1990-08-06;1994-05-20;179;71
Brian Traxler;1990-04-24;1990-05-21;200;70
George Tsamis;1993-04-26;1993-10-01;190;74
John Tudor;1979-08-16;1990-09-13;185;72
Tom Urbani;1993-04-21;1996-08-04;190;73
Efrain Valdez;1990-08-13;1998-07-10;180;71
Fernando Valenzuela;1980-09-15;1997-07-14;180;71
Ty Van Burkleo;1993-07-28;1994-07-30;230;77
Ben VanRyn;1996-05-09;1998-09-26;185;77
Frank Viola;1982-06-06;1996-05-28;200;76
Terrell Wade;1995-09-12;1998-09-26;205;75
Dave Walsh;1990-08-13;1990-10-02;185;73
Claudell Washington;1974-07-05;1990-06-18;190;72
Scott Watkins;1995-08-01;1995-09-30;180;75
Gary Wayne;1989-04-07;1994-06-03;185;75
Neil Weber;1998-09-11;1998-09-27;215;77
Mitch Webster;1983-09-02;1995-10-01;185;72
Terry Wells;1990-07-03;1990-07-27;205;75
David West;1988-09-24;1998-09-04;205;78
Sean Whiteside;1995-04-29;1995-05-03;190;76
Kevin Wickander;1989-08-10;1996-06-12;202;74
Mitch Williams;1986-04-09;1997-05-10;180;75
Desi Wilson;1996-08-07;1996-09-29;230;79
Nigel Wilson;1993-09-08;1996-09-29;185;73
Steve Wilson;1988-09-16;1993-10-02;205;76
Trevor Wilson;1988-09-05;1998-09-26;190;72
Darrin Winston;1997-09-10;1998-06-25;195;72
Ron Witmeyer;1991-08-25;1991-10-02;215;75
Steve Wojciechowski;1995-07-18;1997-07-18;185;74
Brad Woodall;1994-07-22;1999-05-05;175;72
Ted Wood;1991-09-04;1993-04-22;170;74
Marvell Wynne;1983-06-15;1990-10-03;175;71
Cliff Young;1990-07-14;1993-07-24;200;76
Curt Young;1983-06-24;1993-07-05;175;73
Matt Young;1983-04-06;1993-08-06;205;75
Jordan Zimmerman;1999-05-17;1999-07-02;200;72
Jon Zuber;1996-04-19;1998-09-27;190;73