id;fajta_id;név_id;életkor;utolsó orvosi ellenőrzés
1;307;107;14;2017.11.27
2;329;62;9;2018.01.24
3;37;130;9;2017.04.26
4;66;27;10;2017.12.09
5;59;39;13;2017.05.02
6;132;137;14;2017.04.21
7;285;17;8;2017.08.21
8;1;189;12;2017.06.15
9;304;195;11;2017.11.22
10;378;207;3;2017.12.06
11;417;58;8;2017.03.18
12;199;51;1;2017.02.28
13;240;186;8;2017.07.23
14;369;244;13;2017.12.08
15;351;138;20;2017.05.14
16;161;80;5;2017.04.23
17;42;226;10;2017.09.14
18;186;191;16;2017.04.20
19;13;149;1;2018.02.25
20;376;54;8;2018.01.07
21;33;118;6;2017.06.09
22;300;202;9;2017.08.02
23;13;143;4;2017.06.29
24;389;174;14;2017.06.28
25;225;74;8;2017.09.03
26;17;158;4;2017.09.26
27;268;110;9;2017.09.19
28;408;262;15;2018.01.19
29;112;159;12;2017.06.08
30;83;11;4;2017.05.09
31;150;128;9;2017.07.16
32;209;114;13;2018.02.09
33;325;46;10;2017.05.31
34;273;260;16;2017.07.28
35;16;266;13;2017.04.12
36;188;266;11;2017.12.02
37;380;165;5;2017.09.06
38;332;22;17;2017.11.13
39;207;201;8;2017.03.09
40;16;42;7;2017.05.20
41;175;255;8;2017.07.13
42;238;92;16;2017.10.23
43;293;81;2;2017.12.02
44;259;255;2;2018.01.13
45;91;18;7;2017.06.05
46;40;18;14;2017.11.08
47;203;214;18;2017.03.24
48;58;59;4;2018.01.22
49;346;113;10;2017.03.23
50;325;128;16;2018.01.31
51;40;144;5;2017.04.16
52;348;79;11;2017.08.11
53;82;129;14;2017.04.26
54;32;39;1;2018.02.05
55;336;203;7;2017.04.14
56;309;109;1;2017.07.26
57;95;223;1;2017.09.29
58;243;132;6;2017.04.24
59;392;116;15;2017.09.13
60;256;181;4;2017.09.03
61;279;223;9;2017.07.08
62;410;174;12;2017.10.20
63;386;251;11;2017.11.04
64;199;108;14;2017.11.01
65;126;186;13;2017.10.03
66;229;39;11;2017.07.29
67;307;267;2;2017.07.01
68;126;67;1;2017.11.29
69;407;242;13;2017.10.31
70;285;86;15;2017.12.22
71;118;236;16;2017.06.04
72;264;163;10;2017.11.14
73;224;275;10;2017.07.10
74;162;254;2;2017.03.21
75;282;59;10;2017.09.17
76;233;260;1;2017.04.12
77;62;166;7;2017.06.30
78;31;5;8;2017.12.20
79;180;29;5;2017.03.19
80;384;218;2;2018.02.17
81;93;4;10;2017.09.10
82;341;247;7;2017.12.24
83;397;58;12;2017.12.06
84;98;192;9;2018.01.23
85;172;133;9;2017.02.26
86;323;91;15;2017.09.15
87;187;136;4;2017.11.05
88;212;132;12;2017.06.26
89;162;154;12;2017.03.30
90;256;53;14;2017.11.04
91;145;283;9;2018.01.19
92;357;27;6;2017.02.28
93;252;117;14;2018.01.11
94;189;127;12;2017.05.24
95;13;55;7;2017.05.12
96;135;286;4;2017.03.25
97;51;9;8;2017.04.06
98;80;114;1;2018.01.10
99;402;72;9;2017.04.13
100;95;266;11;2017.05.09
101;261;158;15;2018.02.26
102;69;168;8;2017.11.16
103;256;49;12;2017.10.12
104;20;38;8;2017.05.22
105;81;146;6;2017.12.13
106;315;107;2;2017.12.11
107;159;161;14;2017.04.24
108;394;198;8;2017.09.22
109;65;76;14;2017.10.13
110;105;268;15;2017.09.15
111;94;48;8;2017.05.01
112;188;178;2;2017.06.24
113;41;205;9;2017.10.10
114;331;110;4;2017.05.04
115;76;140;2;2017.06.12
116;186;192;16;2018.01.11
117;245;252;1;2017.08.05
118;138;79;11;2018.01.25
119;189;256;2;2017.04.30
120;267;239;9;2017.08.16
121;304;98;8;2017.05.04
122;152;279;6;2017.09.20
123;190;208;5;2018.01.07
124;294;76;8;2017.09.01
125;287;251;6;2017.05.14
126;310;235;16;2017.07.07
127;83;175;5;2017.03.21
128;344;10;7;2017.10.22
129;362;241;3;2017.03.10
130;199;115;15;2017.08.15
131;212;153;11;2017.05.10
132;2;119;11;2017.06.05
133;51;56;17;2017.10.18
134;46;155;11;2017.06.18
135;34;260;8;2017.06.19
136;148;83;1;2017.03.15
137;224;171;9;2018.01.02
138;180;269;4;2017.07.09
139;113;252;12;2017.12.15
140;3;166;16;2017.04.01
141;236;242;13;2017.04.26
142;215;67;3;2017.12.28
143;28;225;18;2017.03.04
144;383;163;4;2017.07.21
145;82;124;3;2017.08.25
146;420;210;4;2017.03.02
147;407;117;10;2017.04.19
148;237;110;10;2017.08.19
149;227;13;14;2017.12.15
150;45;139;16;2017.09.14
151;296;204;3;2017.09.08
152;126;198;6;2017.08.06
153;371;90;7;2017.03.02
154;386;236;13;2018.01.06
155;330;219;5;2017.06.29
156;20;264;6;2017.12.06
157;21;197;1;2017.09.15
158;314;87;9;2017.04.03
159;127;140;15;2017.11.27
160;133;277;6;2017.11.09
161;281;255;7;2017.04.16
162;168;1;11;2017.08.03
163;342;194;2;2017.06.10
164;351;258;8;2017.09.20
165;100;62;8;2018.01.19
166;8;231;15;2017.08.07
167;243;218;7;2017.06.29
168;178;244;4;2017.12.14
169;67;79;15;2018.01.01
170;198;57;11;2017.03.12
171;218;202;13;2017.08.04
172;361;59;14;2018.01.27
173;345;287;7;2017.03.03
174;137;26;8;2017.05.24
175;70;207;11;2017.04.04
176;17;125;4;2017.04.15
177;348;118;13;2017.05.04
178;133;8;15;2017.08.06
179;130;181;9;2017.06.29
180;367;168;1;2017.08.03
181;40;63;7;2017.04.07
182;35;123;11;2017.03.17
183;52;33;1;2018.01.29
184;230;47;14;2017.07.30
185;178;93;18;2017.04.01
186;107;69;1;2017.12.05
187;192;50;2;2017.04.23
188;9;159;2;2017.07.01
189;222;259;2;2018.02.23
190;244;1;13;2017.09.18
191;273;212;11;2017.11.22
192;94;137;16;2018.02.25
193;319;161;8;2017.04.23
194;107;76;17;2017.07.15
195;342;34;18;2017.03.29
196;292;269;4;2017.10.17
197;19;248;16;2017.11.13
198;258;1;17;2017.09.06
199;365;125;1;2017.03.13
200;368;100;18;2017.10.09
201;145;145;7;2017.12.31
202;232;12;1;2017.09.04
203;349;247;4;2017.07.09
204;309;19;12;2017.10.02
205;362;110;15;2018.01.13
206;126;160;4;2018.02.26
207;91;22;14;2017.07.11
208;220;256;7;2017.06.02
209;321;90;13;2017.03.16
210;189;261;18;2017.11.08
211;53;91;3;2018.01.10
212;91;178;7;2017.08.07
213;243;168;1;2017.09.26
214;363;176;4;2017.12.19
215;116;143;1;2017.10.08
216;281;55;11;2017.03.17
217;215;93;17;2018.01.02
218;254;253;12;2017.07.28
219;415;64;16;2017.08.04
220;288;65;9;2017.11.23
221;296;156;1;2017.10.09
222;61;164;7;2017.12.15
223;135;52;15;2017.09.23
224;287;97;3;2017.12.03
225;309;12;11;2017.10.02
226;18;210;3;2017.11.14
227;28;196;6;2017.12.03
228;361;125;10;2018.01.07
229;288;183;16;2017.03.03
230;396;20;14;2017.09.20
231;313;131;2;2017.03.25
232;114;14;12;2017.11.10
233;158;244;11;2017.10.08
234;254;183;11;2017.10.11
235;231;270;4;2017.09.19
236;340;40;9;2017.04.08
237;122;37;18;2018.02.14
238;299;175;8;2017.11.08
239;127;240;8;2017.07.10
240;272;123;10;2017.08.17
241;300;192;5;2017.06.13
242;192;76;11;2017.03.22
243;227;280;6;2017.12.04
244;230;10;10;2017.11.12
245;285;50;9;2018.01.28
246;246;24;15;2018.01.14
247;288;165;8;2017.05.26
248;371;158;1;2018.02.09
249;413;235;6;2017.10.06
250;387;209;8;2017.10.04
251;195;232;16;2017.12.01
252;289;144;14;2017.05.25
253;150;136;16;2017.03.14
254;373;43;8;2017.10.31
255;26;194;2;2017.03.31
256;144;196;3;2017.09.07
257;283;7;5;2017.05.19
258;411;114;14;2017.08.27
259;421;117;5;2017.06.02
260;399;232;11;2017.12.07
261;362;202;8;2017.04.12
262;360;267;2;2017.08.13
263;109;62;11;2017.09.20
264;205;228;11;2017.05.28
265;345;19;6;2017.12.03
266;164;134;5;2017.10.15
267;7;13;6;2017.03.16
268;218;238;16;2017.07.30
269;26;46;3;2017.09.28
270;263;278;6;2017.12.17
271;378;155;12;2017.05.02
272;180;96;14;2018.01.24
273;344;90;8;2017.06.22
274;53;149;13;2017.10.03
275;7;186;5;2017.09.26
276;250;201;15;2018.02.21
277;138;237;18;2017.10.17
278;399;159;12;2017.05.24
279;8;180;8;2017.08.20
280;300;163;18;2018.02.09
281;114;21;13;2017.03.08
282;76;255;12;2018.02.02
283;118;148;2;2017.05.02
284;194;180;3;2017.04.26
285;420;159;11;2017.10.27
286;159;94;10;2017.09.16
287;24;125;11;2017.09.28
288;118;145;9;2017.08.26
289;141;271;7;2017.06.14
290;342;178;5;2017.09.05
291;112;251;7;2017.04.22
292;144;49;2;2018.01.08
293;327;23;11;2017.12.20
294;155;39;8;2017.05.05
295;54;150;18;2017.08.13
296;288;51;14;2017.06.12
297;66;93;5;2017.05.15
298;396;174;8;2017.11.21
299;316;150;8;2017.04.29
300;50;246;11;2018.02.26
301;4;83;8;2017.10.20
302;13;170;6;2017.03.13
303;420;244;7;2017.04.16
304;95;236;3;2017.04.22
305;140;244;5;2018.01.10
306;237;174;8;2017.12.27
307;47;52;9;2017.07.17
308;265;42;17;2017.09.23
309;272;78;16;2017.11.19
310;142;181;10;2017.04.09
311;300;178;1;2017.05.05
312;212;236;1;2017.11.11
313;25;242;13;2017.03.08
314;24;6;6;2017.08.31
315;132;46;15;2017.11.05
316;29;93;1;2017.12.12
317;43;126;6;2017.06.08
318;230;99;3;2017.12.18
319;94;56;15;2017.04.22
320;398;13;4;2017.05.12
321;219;133;9;2018.01.22
322;211;179;5;2017.11.17
323;231;68;8;2018.01.19
324;138;222;3;2017.08.24
325;266;198;7;2017.03.22
326;249;147;5;2017.03.02
327;291;259;3;2017.10.05
328;249;17;7;2017.10.24
329;78;222;10;2017.11.02
330;381;112;15;2017.05.12
331;225;149;13;2017.10.20
332;161;91;11;2018.02.04
333;62;8;6;2018.01.26
334;266;243;6;2017.09.03
335;278;153;7;2017.04.23
336;223;151;11;2017.12.24
337;264;192;1;2017.04.09
338;185;206;8;2018.02.08
339;70;250;18;2017.06.25
340;131;34;16;2018.02.11
341;279;87;12;2018.01.15
342;241;254;3;2017.06.19
343;262;42;11;2017.08.08
344;378;53;1;2017.09.12
345;124;92;13;2017.06.12
346;115;231;5;2017.07.06
347;18;72;2;2017.10.15
348;398;224;7;2018.01.10
349;358;244;16;2018.01.07
350;380;2;6;2017.12.21
351;65;286;13;2017.12.29
352;344;246;5;2017.04.25
353;252;75;9;2018.02.07
354;59;135;16;2017.10.11
355;174;48;6;2017.04.28
356;80;188;8;2017.05.26
357;132;285;15;2017.06.03
358;87;79;18;2017.04.14
359;257;32;13;2017.05.05
360;130;202;7;2017.03.12
361;34;240;15;2017.08.05
362;306;69;4;2017.08.21
363;331;42;11;2017.10.06
364;275;100;15;2018.02.26
365;393;219;3;2017.03.01
366;149;248;8;2017.05.26
367;217;119;7;2017.08.30
368;186;208;4;2017.04.20
369;95;192;2;2017.07.03
370;293;240;10;2017.05.15
371;391;281;9;2017.08.25
372;377;35;14;2018.02.19
373;155;219;4;2017.10.18
374;133;200;12;2018.02.23
375;130;15;18;2018.01.31
376;410;125;12;2017.12.11
377;357;110;4;2017.09.05
378;135;208;14;2017.08.06
379;216;260;16;2017.10.30
380;73;12;9;2017.12.24
381;148;265;15;2018.01.23
382;145;221;14;2017.10.06
383;242;64;6;2017.08.01
384;13;115;17;2017.08.23
385;99;186;2;2017.03.13
386;310;99;13;2017.12.03
387;268;251;6;2018.02.26
388;377;198;13;2017.12.14
389;175;116;18;2017.04.06
390;94;50;14;2017.04.02
391;61;152;3;2018.01.03
392;87;195;5;2018.01.20
393;250;73;5;2017.07.10
394;88;58;13;2017.07.05
395;75;108;12;2017.08.30
396;387;148;4;2017.08.20
397;153;22;12;2017.11.15
398;106;165;17;2018.01.26
399;158;279;6;2017.11.20
400;277;25;3;2017.12.23
401;32;232;6;2017.08.16
402;365;8;12;2017.09.08
403;81;75;4;2017.04.14
404;300;91;10;2017.07.31
405;143;219;3;2017.06.01
406;97;32;2;2017.06.15
407;104;45;10;2017.06.23
408;307;210;3;2018.01.15
409;418;119;9;2017.06.24
410;15;118;5;2018.01.03
411;419;103;12;2017.06.08
412;257;67;10;2017.10.23
413;235;163;2;2017.09.29
414;218;211;2;2017.07.06
415;250;37;3;2017.08.02
416;78;66;5;2017.12.23
417;73;211;17;2017.04.16
418;31;100;18;2017.11.05
419;394;14;6;2017.08.25
420;113;42;15;2018.02.20
421;12;279;9;2017.05.24
422;345;240;9;2017.12.25
423;199;99;18;2018.01.03
424;197;156;5;2017.03.12
425;335;215;2;2017.07.14
426;196;128;5;2017.04.15
427;155;281;9;2018.02.21
428;160;178;8;2017.09.09
429;113;267;16;2017.03.02
430;407;284;11;2017.05.06
431;361;61;6;2017.08.07
432;394;230;5;2018.01.16
433;238;111;9;2017.05.19
434;360;31;7;2018.02.12
435;49;282;18;2017.08.08
436;359;68;10;2017.03.26
437;242;208;18;2018.01.25
438;119;168;1;2017.11.15
439;346;83;3;2017.02.27
440;356;141;17;2017.04.11
441;377;190;13;2017.05.17
442;295;45;5;2017.06.27
443;239;224;11;2018.01.22
444;268;39;11;2017.09.19
445;307;206;11;2017.05.14
446;153;173;5;2017.12.14
447;346;74;13;2017.08.10
448;148;181;2;2017.07.03
449;255;140;7;2017.09.26
450;400;86;6;2017.09.18
451;119;89;18;2017.03.28
452;201;22;8;2017.12.04
453;132;63;7;2018.01.11
454;65;172;1;2017.05.24
455;8;195;11;2017.10.27
456;268;252;4;2017.07.19
457;235;113;14;2017.09.22
458;198;103;7;2017.11.05
459;421;238;9;2017.11.19
460;20;3;11;2017.06.29
461;192;195;12;2017.12.01
462;117;217;16;2017.06.07
463;131;53;3;2018.02.23
464;258;200;10;2017.11.04
465;76;228;7;2018.02.15
466;88;19;6;2017.03.30
467;132;171;16;2018.02.11
468;244;7;6;2017.11.30
469;238;218;2;2017.07.06
470;373;103;1;2017.03.28
471;8;257;9;2017.12.12
472;61;161;8;2017.03.09
473;161;218;17;2017.11.08
474;162;34;3;2017.07.21
475;374;125;17;2018.01.23
476;206;134;3;2017.06.19
477;342;169;5;2018.01.20
478;103;113;12;2017.09.22
479;287;255;3;2017.08.26
480;5;69;10;2017.08.20
481;330;7;5;2017.07.07
482;367;57;3;2017.08.01
483;317;116;16;2018.01.04
484;209;63;13;2018.01.24
485;412;67;2;2017.07.12
486;43;262;9;2017.06.23
487;180;41;6;2017.10.26
488;167;198;11;2017.11.29
489;316;54;13;2017.07.29
490;227;284;18;2017.10.27
491;239;150;5;2017.09.19
492;45;201;16;2017.04.01
493;134;243;14;2017.08.21
494;266;34;10;2017.05.06
495;415;135;11;2017.12.06
496;181;175;17;2017.08.08
497;275;211;6;2017.04.07
498;225;259;11;2017.09.08
499;337;16;8;2018.01.17
500;34;153;13;2017.06.15
501;140;282;15;2017.12.15
502;231;196;1;2017.11.01
503;136;81;11;2017.05.30
504;21;134;16;2017.06.16
505;272;250;12;2017.06.12
506;357;197;9;2017.08.21
507;171;270;17;2017.09.29
508;207;19;18;2017.10.30
509;328;9;7;2017.04.09
510;124;62;15;2017.09.23
511;155;258;14;2017.10.30
512;145;167;17;2017.11.17
513;269;235;3;2017.11.01
514;179;111;8;2018.01.20
515;374;76;7;2017.09.16
516;88;22;1;2018.02.10
517;137;200;17;2017.08.19
518;73;139;7;2018.02.11
519;290;227;1;2018.01.31
520;3;58;17;2017.03.31
521;130;151;12;2017.06.29
522;228;160;15;2017.10.26
523;350;274;9;2018.01.07
524;398;252;15;2017.08.30
525;249;243;5;2017.04.11
526;89;56;8;2018.01.16
527;49;98;6;2017.04.28
528;134;246;13;2017.11.19
529;330;19;5;2017.06.16
530;377;162;3;2017.07.24
531;183;36;15;2018.01.24
532;124;114;9;2017.09.22
533;244;168;6;2018.01.22
534;353;6;13;2018.01.16
535;278;116;9;2017.08.03
536;403;167;2;2017.11.22
537;283;118;5;2017.12.19
538;134;102;6;2017.04.17
539;77;65;14;2017.04.15
540;107;228;4;2017.02.28
541;352;274;6;2017.08.23
542;266;2;11;2018.01.29
543;31;76;16;2017.04.22
544;331;138;8;2017.09.26
545;402;240;10;2018.02.20
546;6;177;15;2017.07.09
547;345;179;14;2017.09.11
548;64;159;12;2017.05.17
549;336;139;1;2017.11.20
550;164;214;16;2017.10.23
551;375;78;2;2017.05.03
552;176;64;8;2017.04.08
553;262;116;6;2017.04.12
554;338;117;14;2018.02.25
555;247;262;4;2017.07.31
556;313;250;14;2017.12.15
557;193;285;7;2017.11.25
558;206;60;12;2017.02.26
559;153;208;6;2017.05.23
560;264;111;5;2018.02.07
561;309;200;16;2017.08.12
562;185;262;16;2018.02.17
563;120;53;4;2018.01.06
564;355;104;18;2017.04.22
565;371;225;2;2017.08.29
566;70;131;15;2017.06.12
567;241;254;2;2017.10.01
568;161;131;16;2017.05.29
569;111;233;9;2017.11.23
570;132;237;12;2017.03.24
571;282;112;12;2017.11.18
572;304;140;2;2017.12.13
573;403;259;5;2018.02.16
574;343;142;12;2017.11.23
575;27;49;2;2017.11.16
576;108;175;6;2017.05.13
577;239;11;6;2017.06.09
578;290;163;12;2017.08.16
579;117;75;18;2017.10.23
580;45;10;11;2017.10.31
581;151;73;4;2017.09.08
582;342;75;5;2017.09.12
583;151;55;18;2017.08.30
584;126;77;7;2017.10.11
585;83;113;10;2018.01.21
586;200;121;11;2017.02.27
587;362;229;16;2017.09.05
588;407;34;11;2018.02.15
589;390;35;11;2018.01.25
590;274;103;18;2017.04.11
591;388;179;1;2017.06.13
592;359;54;1;2017.07.19